"age","citations_t0","citations_t5","female","grant_success","normalised_score"
8,34,32,0,1,-39.1
8,29,36,0,0,13.3
5,30,68,0,0,9
7,39,76,1,0,-5.9
11,10,8,0,0,21.2
10,27,35,0,1,-3.7
10,59,86,0,0,21.1
5,28,48,0,0,32.1
10,64,94,0,0,11.6
8,29,18,0,0,-6.5
9,42,42,0,1,3.6
7,29,20,0,0,3.3
9,53,62,0,0,22
13,24,52,0,1,10.3
9,32,53,0,1,-31.1
9,27,40,0,0,6.3
14,42,43,0,0,-1.2
10,21,2,0,1,-4.4
7,4,18,0,1,-40
9,31,70,0,1,-18.6
4,26,33,0,0,40.9
12,31,38,0,1,-43.4
7,33,34,0,1,10.4
9,59,90,1,0,15.1
4,20,16,0,0,2.2
11,47,44,1,0,20.6
10,34,28,0,1,14.3
9,26,21,0,0,-6.1
5,49,55,0,0,39.7
8,30,10,0,1,-2.1
9,38,23,0,1,-17.3
12,50,62,0,1,-52.2
7,19,7,0,0,48.2
8,36,12,0,0,12.6
7,12,12,0,1,-33.7
5,36,61,0,0,8.3
9,33,43,0,0,8.2
13,23,7,0,1,-11.1
10,27,0,0,1,-12.7
5,61,70,0,0,18.7
9,31,38,0,0,34.6
3,8,22,0,1,-12.8
10,36,41,0,1,1.8
9,30,39,1,0,39
14,28,55,0,0,5.9
6,44,66,0,0,16.4
13,60,101,0,0,36.2
5,35,3,0,0,14.9
13,41,28,0,1,-20
12,33,58,0,0,2.7
10,30,16,0,0,38.6
6,16,44,0,1,-10.1
12,62,98,0,0,12.2
9,15,24,0,1,-38.5
8,26,31,0,0,3.6
10,43,80,1,1,-44.9
8,48,83,0,0,-5.8
10,35,9,1,0,13.3
10,36,8,0,0,19.4
9,25,7,0,0,26.2
16,42,35,1,1,-18.9
9,43,88,0,1,-8.6
9,39,47,0,1,-3
12,58,59,0,1,-15.3
7,51,85,0,0,26.1
9,31,43,1,1,-47.4
12,37,50,0,1,-9.8
10,31,28,0,1,-30.6
11,38,3,0,1,-7.9
8,33,48,0,0,47.4
5,42,24,0,1,-2.2
4,39,37,0,0,-1.1
13,42,21,0,0,4.2
6,18,14,0,0,3.9
7,31,26,0,1,-26.7
12,17,27,0,1,-27.3
8,45,112,1,1,-13.9
12,43,82,1,1,-27.9
8,47,45,0,1,4.1
4,25,20,0,0,23.2
11,34,14,1,1,-37.6
12,43,63,1,1,14
11,5,0,1,1,-17.7
8,30,42,1,1,-35.7
9,22,64,1,1,-12.2
13,19,0,0,0,30.6
10,48,81,0,1,-39.9
6,35,42,0,0,53.4
9,50,43,0,0,34.7
17,45,65,0,1,-12.6
6,33,43,0,0,7.1
12,63,76,1,0,-11.7
13,29,42,1,0,20.9
10,21,45,0,0,3.4
9,17,7,0,1,2.8
6,25,29,0,0,20.2
10,44,4,0,1,-10.6
10,45,45,1,0,28.8
14,31,34,1,0,9.9
11,35,33,0,1,-14
8,54,85,1,1,-61.2
10,25,10,0,0,4.6
8,43,57,0,0,3.4
16,31,0,0,1,-26.4
2,5,0,0,1,-6
9,43,57,0,0,7.4
12,41,66,0,0,9.7
9,44,53,0,0,31.6
3,14,58,0,0,7.8
8,27,19,0,0,31.9
11,48,34,0,1,1.7
7,23,39,0,0,-1.9
11,19,8,0,0,27.8
11,30,9,0,1,-9.9
9,40,4,0,1,-0.5
7,19,13,0,1,5.8
8,29,33,0,0,2.9
7,25,0,0,0,1.5
8,29,44,0,1,-26.9
10,28,7,0,1,-28.9
12,6,0,0,1,1.4
10,57,96,0,1,8.2
10,42,0,0,0,54.1
9,32,12,0,0,33.1
11,31,0,0,1,-5.4
10,41,65,1,1,-11.4
6,29,54,0,0,1.8
5,12,25,0,1,-43.3
13,36,15,0,1,11.3
8,26,39,1,0,16.3
10,38,40,0,1,-20.3
6,52,63,1,0,3.8
9,54,92,0,1,1.7
12,36,25,1,1,-21.5
12,37,46,1,0,-0.9
5,36,47,1,1,7.8
8,46,70,0,0,33.4
5,38,31,0,1,-9
8,47,25,0,0,23.4
12,50,39,0,1,-30.4
15,59,77,0,1,-6.9
9,53,50,0,0,29.1
13,17,16,0,0,16.4
13,46,86,1,0,-4.6
10,33,79,0,1,-30.8
8,11,0,0,1,-1.8
12,16,13,0,1,0.1
6,40,45,0,1,-1.3
10,16,0,1,0,16.1
11,37,45,0,1,-24
7,25,2,0,0,8.3
6,27,38,0,0,9.2
8,22,14,0,1,-54.6
8,44,79,1,1,-6
11,42,40,1,1,34
13,38,48,0,0,-13.1
8,23,50,0,0,6.9
12,13,0,0,0,3.3
7,11,0,0,1,-19.6
10,33,43,0,0,-6.4
7,11,0,0,1,-2.1
11,48,66,0,0,29.6
4,44,72,1,1,-9.7
8,0,0,0,1,-3.1
17,48,63,0,1,-15.2
11,34,46,0,1,-35.5
10,29,0,0,1,-34
10,60,68,0,0,0.8
12,35,41,0,1,16.3
9,32,33,0,0,18.5
9,56,74,0,0,2.2
13,38,52,0,0,61.4
16,47,34,0,0,11.2
8,53,28,0,1,20.5
6,27,24,1,1,10.1
10,43,29,0,1,-30.1
7,33,21,0,0,-19
7,37,52,1,1,-42.7
12,40,44,0,1,-38.2
9,37,62,0,0,34.1
5,27,47,0,0,26.5
13,26,5,0,0,3.8
10,40,95,0,0,26.6
8,32,65,1,1,-27.4
11,47,88,1,0,-13
6,37,58,0,1,-15.1
6,32,11,0,0,42.1
4,17,0,0,0,30
9,49,41,0,0,26.8
5,30,64,1,1,-12.7
16,34,29,0,0,11
8,23,22,0,0,21.8
3,31,60,0,0,30.1
3,33,38,0,0,42.4
9,50,57,0,0,6.6
9,30,31,1,0,37.6
10,49,29,0,1,-45.6
8,46,34,0,1,-5
7,28,0,0,1,-31.4
9,23,8,0,1,-5.4
2,27,50,0,0,48.6
15,52,72,0,0,15.2
11,64,68,0,1,-4.9
14,33,44,0,1,10.7
4,54,52,0,0,54
8,33,32,0,1,7.5
8,63,67,0,0,9
13,40,48,0,1,-12
6,7,10,0,1,-36.6
6,9,0,0,0,3.9
8,40,62,0,1,-17.9
8,32,39,1,1,-10.9
11,68,42,0,0,3.6
14,77,112,1,0,27.9
10,30,48,0,0,35.8
7,17,0,0,0,3.7
11,46,64,0,0,5.4
12,30,42,0,0,4.2
9,31,2,0,0,-3.5
17,66,95,0,1,-40.7
7,26,12,0,0,-18.6
11,27,19,0,1,-32.5
6,49,76,0,0,11.2
7,45,38,1,0,7.1
11,35,75,0,0,0.6
8,23,0,0,1,-15.3
8,40,49,0,0,18.1
8,25,14,0,1,-26.5
10,19,0,1,1,-6.7
7,31,36,1,0,62.8
10,13,0,0,1,0.1
5,30,27,1,0,38.2
13,27,31,0,1,-3
10,7,0,0,1,1.5
15,32,39,0,0,38.5
11,45,68,0,0,-14.1
6,27,14,0,1,-14.8
7,27,23,0,0,5
8,6,0,0,1,6.6
10,24,18,0,0,3.2
7,24,0,0,1,-10.4
8,55,71,0,0,16.2
8,24,27,0,1,5.9
13,28,84,1,0,-4.1
9,34,33,0,1,-13.3
10,17,0,0,0,26.2
4,49,112,0,0,-8.8
16,27,1,0,1,-14.4
3,10,25,1,0,23.2
10,41,49,1,0,-11.3
10,22,15,0,1,-27.7
11,54,97,1,0,10.6
13,40,31,0,1,-16.4
7,48,36,0,0,82.8
10,48,8,0,0,-2.9
14,53,75,0,1,-24.5
9,33,38,0,0,20.5
9,25,53,0,1,-46.7
9,45,67,1,1,-19.3
10,27,50,0,0,9.6
5,48,72,0,0,1.4
8,28,0,1,0,13.1
12,26,14,0,1,-41.7
12,24,34,1,0,37.4
8,6,1,0,1,-2.3
8,32,36,0,0,11.7
9,47,57,0,0,24
10,36,15,1,0,63.6
3,38,26,1,0,53.2
8,41,60,0,1,-35.4
3,25,0,0,0,12.9
7,4,0,0,0,26.5
10,22,24,0,0,26.9
12,50,63,0,1,11.5
7,53,58,0,0,22
11,29,6,1,0,8.4
6,30,58,0,1,-33
9,27,9,0,1,-35.2
16,38,63,0,1,-25.8
6,33,19,0,1,-22
6,41,38,0,0,-10.2
5,17,9,0,1,21.9
7,48,62,1,1,-22.5
10,48,62,0,1,-19
11,35,38,1,1,11.2
4,56,110,0,0,22
9,27,17,0,0,-16.1
11,25,31,1,1,-28.6
11,22,12,0,1,-42.7
7,30,40,0,0,31.2
10,41,30,0,0,14.6
10,44,79,0,1,-7.6
8,15,12,0,0,17.5
7,48,84,0,0,18.8
12,27,29,0,0,6.1
10,54,69,0,0,16
10,20,31,1,0,-7.3
8,40,41,0,0,41.2
16,40,40,0,0,9.9
11,20,29,1,1,-20.1
16,51,63,0,1,-24.8
11,45,60,0,0,13.7
12,37,102,0,0,10.9
9,37,58,0,0,32
11,12,15,1,1,-29.1
10,39,55,0,0,17
7,51,33,0,0,-17
14,39,54,0,0,3.5
3,0,5,0,1,-51.1
6,32,42,0,1,-30
4,13,3,0,1,-26
9,34,17,0,1,-24.4
13,38,28,1,0,19
13,31,15,0,1,-3.4
12,46,49,0,1,-21.9
5,32,56,0,0,4.9
6,47,54,1,0,-19.2
13,30,43,0,1,-14.9
8,17,10,0,1,-19.1
11,45,66,0,1,-14.1
3,19,20,0,1,6.9
7,15,12,0,0,44.7
12,17,38,0,1,-27.3
11,45,84,0,1,-12
16,61,84,0,1,3.5
10,52,59,1,0,-0.5
11,27,26,0,0,21.2
8,26,28,0,1,3.1
10,31,45,0,0,-6.3
10,23,4,1,1,-35.9
8,29,41,0,1,-12.1
7,33,69,0,1,3.1
13,46,78,0,0,-5.4
10,45,72,1,0,3.4
11,23,0,0,0,20.2
15,68,73,1,1,-21.4
9,43,56,1,0,-21.1
13,37,37,0,0,19.5
10,24,43,0,1,7.5
7,36,59,0,1,-5.3
12,33,23,1,0,-25.4
7,30,36,1,1,-6.3
9,33,33,0,0,23.2
10,28,64,0,1,-1.4
9,45,37,0,0,29.4
7,37,37,0,0,14.4
12,41,32,0,1,-4.1
18,46,25,0,0,-1.1
10,64,80,1,0,30.5
12,33,46,0,0,-11.1
6,17,18,0,1,-8.2
10,34,0,0,1,1.4
11,31,30,0,1,-16
7,29,41,0,0,10.8
10,44,57,0,0,7.8
5,19,5,0,0,32.4
12,34,27,0,1,-7.1
7,5,0,1,1,8.3
15,40,4,1,0,-6
11,41,59,1,1,-57.1
12,27,8,0,0,-12.2
0,33,42,0,0,9
11,30,35,0,0,6.3
9,16,41,0,0,13.8
7,24,18,0,1,5.7
10,9,12,0,1,-21.3
12,21,0,0,1,-26.7
8,33,81,0,1,1.3
11,32,27,0,1,-6.3
10,35,41,1,0,1.7
11,43,41,1,0,-10.8
12,25,43,1,1,-25.3
8,31,43,0,0,-20.5
11,14,16,0,1,-14.8
9,32,24,0,1,-28
12,46,66,0,0,-4.6
13,33,43,0,0,-24.6
12,37,88,1,0,6.6
9,30,26,0,1,6
8,36,103,0,0,19
8,40,38,0,0,14.6
8,23,13,0,0,29.1
11,37,30,0,0,30.2
7,15,50,0,1,-19.8
10,37,34,0,1,-20.6
8,37,54,1,0,-20.5
4,37,55,0,0,0.2
7,37,34,0,0,-17.6
14,32,47,0,0,43.8
10,49,73,0,0,2.3
11,24,0,0,1,-18.2
6,25,3,0,0,5.9
8,35,37,0,0,-14.4
10,28,16,0,1,-0.7
8,24,43,0,1,-0.4
11,44,73,0,0,21.6
4,45,42,0,1,-6.7
13,48,76,0,0,0.1
8,40,39,0,0,34.4
9,14,26,0,0,-6.9
6,42,67,0,1,-17.1
9,39,20,0,0,11.9
7,56,85,1,0,14.5
8,29,9,0,1,-17.1
5,44,50,0,0,50.3
7,41,14,1,1,-5
12,42,58,0,1,-29.6
7,27,35,0,0,-11.3
17,57,68,0,0,28.9
10,29,22,0,1,-2.4
5,37,41,0,0,36.8
15,48,71,0,1,-8
14,34,43,0,1,-12.4
7,40,22,0,0,16.1
9,28,1,0,1,-6.1
8,79,157,0,0,-13.9
9,21,0,0,0,13.1
11,49,46,0,0,4.7
6,34,26,0,0,22.2
7,41,55,1,0,30.8
7,44,71,0,0,-1.3
8,40,46,1,1,-38.8
13,46,72,0,0,-12.1
12,33,45,0,1,-2.2
9,27,5,1,1,-0.1
14,55,46,0,1,-19.1
11,40,19,0,0,6.6
7,34,26,0,1,22.4
11,57,75,0,1,-37.6
4,7,0,0,0,-0.5
6,25,26,0,0,49.9
11,40,58,1,0,-17
13,23,21,0,0,25.5
11,23,58,0,1,-22.5
9,35,42,0,1,-41.6
3,29,63,0,0,-11.6
5,7,0,0,0,28.6
14,60,52,0,0,19.9
6,45,46,0,0,4.2
6,16,0,0,1,-8.9
10,29,7,0,0,-1.9
13,37,34,0,1,-12.7
13,36,18,0,1,-15.3
8,35,12,1,1,-20.4
12,36,25,0,0,19.9
3,31,0,0,0,11.9
11,41,35,1,0,23.8
10,45,69,0,0,18.2
3,30,46,0,1,2.8
6,27,39,0,0,26.3
11,35,1,1,1,-20.9
17,37,61,0,1,-20.6
7,24,19,0,0,16.3
10,36,65,0,1,-5.8
4,22,0,0,0,-22.5
6,31,14,0,0,24.7
6,31,5,1,1,-20.5
9,39,31,0,0,1.8
6,5,0,1,0,17.5
8,39,61,0,1,-16
9,26,6,0,1,-17.8
12,46,37,0,0,34.1
11,31,0,0,1,-5.1
10,33,22,0,0,0.5
5,38,68,0,0,18.4
9,28,52,0,1,-11.4
7,3,3,0,0,29.8
10,31,74,0,0,-7.7
9,31,25,0,1,-25.9
13,37,27,0,0,10.1
8,39,49,0,1,0.3
8,64,89,0,0,71.4
7,25,0,0,0,16.8
11,26,43,0,1,-5.1
11,27,40,0,1,-50.4
10,32,48,1,0,-30.8
9,41,82,0,1,-20
5,25,21,0,1,-32.2
12,60,58,0,0,21.3
7,27,13,0,0,29.8
8,31,36,0,0,1.7
12,31,1,0,0,34
6,19,10,0,0,-9.2
10,46,36,0,0,54.3
11,0,0,0,1,-6.2
4,38,45,0,1,10.8
16,31,73,0,1,1.9
8,31,21,1,0,-9.8
9,50,27,0,1,-8.1
10,38,36,0,0,-2.3
11,56,63,1,1,-37.4
8,57,77,1,0,25.3
12,44,58,0,0,28.4
5,19,42,1,1,-4.5
10,32,20,0,1,9.5
14,40,52,0,0,-16.2
5,21,22,1,1,4.5
10,44,50,0,1,0
12,8,0,0,0,3.3
15,40,35,0,1,-37.1
9,16,23,0,1,-1.5
12,48,13,0,1,1.4
12,44,48,0,1,-14.5
7,41,57,0,1,-6
13,27,30,0,1,-6.5
7,39,46,1,0,14.9
6,43,64,0,1,-23.1
10,50,28,1,1,-27
9,19,41,1,1,-18
9,40,76,1,1,-0.4
13,39,52,0,1,-28.7
7,25,35,0,1,9.8
6,11,0,0,0,-15.1
11,5,13,0,1,-17.4
10,47,63,1,1,-11.7
13,44,112,0,0,-7.3
14,23,0,0,0,34.4
12,58,55,0,0,29.3
9,29,27,0,0,9.5
9,43,27,1,0,28.9
6,46,25,0,0,46.7
6,28,27,0,0,14.9
13,42,77,0,0,-1.2
16,31,52,1,0,0.7
10,20,74,0,0,20.4
12,42,68,0,1,-25.7
11,47,12,1,1,-2.5
8,39,66,0,1,-52.4
8,6,0,0,0,-4.7
9,14,31,0,1,12.3
6,48,54,0,1,3.5
7,40,65,0,1,-10.3
10,18,0,0,0,0.9
10,31,15,0,0,20.2
6,29,42,0,0,18.6
11,39,31,0,1,-3.8
12,30,30,1,1,-30.1
13,16,0,0,1,-9.2
17,37,63,1,0,-10.7
2,30,21,0,0,35.3
2,18,0,0,0,18.2
14,49,65,0,1,-20.8
10,22,39,0,1,0.5
10,20,6,0,1,-17
12,22,25,1,0,3.5
8,38,5,0,1,8.8
8,28,18,0,0,17.1
10,20,12,0,1,-26.6
15,57,78,0,1,-1.3
9,24,13,1,1,-44.9
13,65,32,0,0,32.6
8,33,30,0,1,-79.5
10,52,70,1,1,9
8,36,59,1,0,27.2
10,40,57,0,0,32
13,33,62,0,1,-31.1
9,37,36,0,1,-4.3
4,17,33,1,1,-6.4
12,14,5,0,1,-19.9
14,37,42,0,1,-4.9
11,13,2,0,1,-26.4
12,28,0,0,0,11.5
7,24,49,1,0,10.5
7,55,67,1,0,39.7
10,15,20,1,1,-29.3
13,59,64,0,1,-20
9,32,22,0,0,-10.1
7,48,89,0,0,6.7
14,27,57,0,0,-9.8
13,51,25,1,0,-16.1
12,50,57,0,0,-4.7
2,26,43,0,0,47.1
12,48,27,0,0,3.5
12,26,0,0,1,-42.4
12,25,40,0,1,-17.3
11,34,19,0,1,-43.3
11,20,6,0,0,13
10,29,45,0,0,-16.6
11,47,66,1,1,4.1
7,30,20,0,0,23
7,16,0,0,0,5.6
7,31,47,0,1,19.6
5,31,65,0,0,27.3
11,33,8,0,1,-36.9
7,31,56,0,1,7.2
11,33,11,0,1,-6.7
6,18,0,0,1,-3.2
7,25,34,1,0,15.3
7,54,118,0,0,17.7
7,27,35,0,1,-30.8
11,0,0,0,1,4.8
8,30,27,0,1,-2
9,14,7,0,0,3.4
13,41,25,0,1,-40.9
13,40,20,0,1,-16
12,47,66,1,0,26.7
5,9,7,0,0,11.1
6,3,15,0,1,-35.3
8,29,25,1,1,-0.6
13,55,69,0,0,17.3
12,22,18,0,1,-3.5
9,66,75,1,0,-16.1
12,46,52,0,1,-8.2
12,21,20,0,0,15.8
10,40,52,0,0,-10.9
7,35,47,0,0,18.2
18,58,74,1,1,-23
10,39,92,0,1,1.5
13,53,56,1,1,-18.9
12,25,8,0,1,26.1
11,27,21,0,1,-11.2
14,48,37,0,1,-0.1
9,31,34,0,1,-17.9
8,41,75,1,0,-9
11,37,37,0,0,-35.7
8,20,15,0,1,5.2
13,31,22,0,1,1.2
7,40,73,0,1,-3.2
12,54,104,0,1,-37.4
11,56,44,0,1,15.8
10,28,19,0,1,4.6
11,46,75,0,1,15.9
14,65,103,0,0,7
11,37,67,0,1,3.7
10,31,29,0,1,-1.8
9,38,51,1,1,-1.6
11,23,47,0,0,47.9
7,23,28,0,0,-10.4
5,29,45,0,0,31.2
14,51,68,0,1,-9.5
14,28,0,0,1,-16.7
5,26,41,0,1,6.7
7,36,35,0,1,6.7
6,26,21,0,0,44.5
6,31,3,0,0,6.1
10,30,59,0,1,-8
5,15,17,0,1,-13.3
9,34,8,0,1,-27.8
13,18,28,0,1,-23.9
14,25,0,0,0,19.3
11,39,36,1,1,-15.5
5,21,39,1,0,-6.7
10,44,38,0,0,15.7
6,16,7,0,1,-25
7,14,0,0,1,8.1
12,59,80,1,1,-42
9,19,36,1,1,-15.2
11,2,0,1,1,-39.6
11,23,11,0,1,-28.1
12,41,51,1,0,12
6,42,25,0,1,-7.6
7,47,47,1,1,-37.6
8,24,27,0,0,24.7
8,38,26,0,0,11.8
9,54,95,0,0,5.8
9,34,68,0,0,14.5
9,41,38,0,1,-10.8
11,46,60,0,1,-12.6
12,29,15,0,1,-8.6
3,20,0,0,1,16.2
5,50,53,0,1,7.6
12,13,0,1,1,-4.6
5,46,42,0,0,17.6
2,11,0,0,0,28.7
7,42,61,0,1,12.4
10,29,4,0,1,-18
12,35,79,0,0,8.4
10,71,76,0,1,-9.4
11,42,63,1,1,-4.1
15,34,20,0,1,-5.6
13,52,71,0,1,-57
10,34,53,0,0,31.4
18,39,50,0,1,-8.6
6,7,24,0,0,34
7,31,61,1,0,35.8
10,18,0,0,1,5.8
4,13,7,0,1,20.2
1,16,0,0,0,22.4
8,32,36,0,1,0.8
9,25,16,0,0,6.3
13,40,5,0,1,-38.7
14,28,27,1,0,-11.5
14,44,77,0,1,-30.7
5,12,0,0,1,27.9
8,21,20,0,0,-10.8
16,46,67,0,1,-27.8
9,28,18,0,0,7.6
11,32,6,1,1,-15.8
12,30,3,1,1,-45.6
12,28,43,0,0,12.8
12,16,10,0,1,-19.7
11,39,39,0,1,-33.3
9,11,0,0,1,4.7
9,29,26,1,0,-3.6
3,12,11,0,0,49.4
6,51,78,0,0,11.1
8,48,50,0,0,12.1
8,47,35,0,0,30.9
14,29,20,0,0,36.7
8,33,28,0,1,-9.7
15,19,5,0,0,40.1
9,57,69,0,1,-26.1
7,29,0,0,0,28.2
15,67,73,0,1,-0.8
13,69,106,0,1,-19.1
9,43,66,0,0,27.9
9,36,52,0,0,18
6,33,28,0,1,-21.3
13,45,52,0,0,-0.8
11,48,59,0,0,-22.6
8,30,39,0,0,1.6
14,29,15,1,1,-58.6
8,38,72,1,0,4.5
9,51,56,0,0,15.4
9,34,40,0,1,-7.4
12,27,2,1,1,-74.7
9,4,3,0,1,-8
6,1,0,0,0,31.4
8,33,47,0,1,8.2
10,10,14,0,0,38.9
14,46,54,0,1,-44.6
6,24,19,0,1,-1.4
6,27,37,1,0,-7.8
17,36,32,0,1,-18.5
7,34,14,0,1,1.1
11,48,44,0,1,-17.5
11,24,7,0,1,-25.3
11,19,3,1,1,-6.4
8,19,27,0,1,-1.1
7,17,37,0,1,-0.4
11,43,54,0,0,6.3
6,40,61,0,0,9.5
11,36,64,0,1,10.4
11,18,4,0,1,-9.5
7,48,60,0,0,19.2
13,44,46,0,1,-33.2
13,28,19,0,0,16.6
9,10,31,0,0,6.9
5,27,79,0,0,-0.8
6,48,45,0,0,11.5
14,46,27,0,0,7.2
9,27,9,1,0,4.5
13,20,22,0,1,11.7
12,40,60,0,1,-13.6
6,19,12,0,0,2.1
9,47,45,1,0,-6.8
12,41,46,0,0,-17.3
6,16,0,0,0,37.4
3,22,59,1,0,53.6
8,50,30,0,0,-0.4
6,47,69,0,0,20.1
7,26,4,1,1,-9.2
9,43,58,1,1,-4.4
6,25,29,0,1,-44
16,43,39,0,1,-45.4
12,23,32,0,0,37.8
10,14,0,0,1,-35.6
10,27,0,0,0,10.7
12,15,0,0,1,-28.9
6,26,46,0,1,-12.5
8,36,49,0,0,26.3
10,47,33,0,1,-13.1
15,35,29,0,1,-8
10,30,42,0,0,9.2
11,46,31,0,1,4.9
7,37,64,0,0,36.6
6,7,23,0,1,-25
10,42,49,0,0,30.5
7,28,47,0,0,3.1
7,38,53,0,1,-5.8
9,25,0,0,0,23.5
6,50,59,1,0,29.4
4,21,16,0,0,21.6
7,31,81,0,1,-5.2
11,32,37,0,1,-16.3
17,47,42,0,1,-29.8
10,28,1,1,0,-19.7
4,18,16,0,0,50
8,27,12,1,0,-10.9
12,55,85,0,0,15.7
16,30,23,1,1,2
9,49,71,0,1,-37.9
6,23,27,0,1,-12.1
12,14,1,0,0,12.4
10,43,36,1,1,-4
15,41,19,0,0,25.6
10,46,70,0,0,16.6
12,43,60,0,0,15.2
9,28,46,0,1,-23.7
8,51,24,0,0,14.2
9,34,33,0,0,34.3
11,49,82,0,1,-1.9
9,30,6,1,0,-3.2
4,49,46,0,0,21.9
10,28,29,0,0,0.7
12,56,68,0,0,10.2
6,17,0,0,1,-17.4
9,9,0,0,1,-44.3
5,16,41,0,0,46.9
6,5,0,0,0,-3.2
5,44,63,0,0,6.3
6,4,0,0,1,-13.7
16,42,32,0,0,11
7,0,0,0,1,-22.5
11,21,44,0,0,42.1
6,29,26,0,1,24.2
9,28,26,0,1,17.8
7,31,35,0,0,-2.2
7,20,29,0,0,38.3
6,16,7,0,1,9.8
11,27,31,0,1,-45
11,44,50,0,0,-3.5
10,34,55,0,0,12.9
11,35,38,0,1,-31
13,44,51,0,0,18.9
11,22,0,0,1,-42.4
11,11,0,1,0,8.1
8,36,56,0,0,-9
12,12,12,1,1,-35.1
4,14,2,0,1,-17.9
7,49,81,1,0,15.1
5,36,46,0,0,11.1
9,32,28,1,1,8
10,33,11,0,0,7.2
9,31,42,0,0,-2.2
8,8,2,1,0,13.9
8,37,43,0,1,-17
10,17,0,0,0,7.2
13,42,48,1,1,-15.4
9,50,42,0,1,-4.1
6,33,82,0,0,21.9
9,21,0,0,1,5.8
5,48,37,0,0,24.5
6,28,34,0,1,-27.1
9,32,13,0,0,8.9
6,52,78,0,0,-11.7
3,17,30,0,0,8.8
11,19,4,0,1,-19.8
8,32,38,0,0,11
8,36,55,0,1,-39.8
11,10,14,0,1,7.5
10,62,55,1,0,-16.4
7,39,34,0,0,25.2
12,16,1,0,1,-42
10,35,41,1,0,9.9
15,28,32,0,1,-47.7
10,43,69,0,0,10.3
14,34,52,0,0,4.2
14,34,76,0,0,22.7
12,32,61,0,0,25.8
8,30,58,1,0,-2.6
9,30,19,1,0,4.2
6,31,0,0,0,16.5
6,35,28,1,0,-2.2
13,38,22,0,1,0.9
12,46,76,0,0,4.2
15,33,47,0,0,30.6
10,46,16,0,1,-6
5,36,79,0,0,38.1
13,29,0,0,1,-26
9,50,90,0,0,31.8
9,25,28,0,1,-13.1
12,35,18,0,1,-35.3
10,29,21,1,0,26.4
13,53,74,0,0,-14.7
6,8,19,0,1,-5.3
12,42,78,1,1,4.2
14,36,21,0,1,14.6
4,9,0,0,0,-4
9,33,37,0,0,17.4
12,32,36,0,0,13.1
7,25,10,1,0,-16.5
5,27,0,0,1,19.5
5,32,29,0,0,43.6
8,55,67,0,1,7
6,53,40,0,0,10.4
11,45,51,0,1,-5.7
5,33,25,0,0,55.5
6,14,0,0,0,17.2
12,29,33,1,1,7.9
5,47,75,0,0,63.3
5,23,45,0,0,53
11,38,60,0,1,-1.2
8,45,58,0,1,17.6
15,33,13,0,1,-15.6
6,30,35,1,0,28
11,27,48,1,0,-15.8
14,29,11,0,1,-18.8
9,21,0,1,0,7.9
11,37,65,0,0,-6.5
8,33,44,0,0,13.6
6,39,77,0,0,12.1
9,25,0,1,0,-2.2
15,40,18,1,1,-22.8
11,37,52,0,1,-35.8
16,45,49,0,1,-40.9
7,24,65,1,0,8.9
9,38,42,0,0,55.9
10,11,21,0,1,-27
10,46,71,0,1,-28.3
6,12,21,0,1,4.9
7,20,15,0,0,0.1
8,21,43,0,1,-5.6
9,21,29,0,1,-6.7
8,33,30,0,0,16.6
8,44,25,1,0,10.5
8,55,87,1,0,16.2
7,28,14,0,1,-30.4
3,23,9,1,1,-20.5
4,26,38,1,1,13.5
5,16,6,0,1,-1.3
17,57,83,0,1,-13.2
6,18,54,0,1,3
9,38,75,0,1,-18.1
15,52,75,0,0,16.8
13,21,19,1,0,48.3
10,9,0,0,1,-49.4
11,24,31,0,1,-21.9
11,26,18,0,0,-9.4
9,14,0,0,1,-11.3
12,61,94,0,1,-27.7
7,19,5,1,1,-30.6
6,0,0,0,1,15.7
10,46,51,0,0,-3.3
10,42,27,1,0,-19.5
10,38,30,0,0,41.5
7,22,39,0,0,14.9
10,43,24,0,0,14.7
9,29,38,0,1,-30.4
13,73,69,0,1,19.5
10,21,0,0,0,-8
7,12,13,0,0,24.4
9,35,23,1,1,-41.1
11,44,61,1,0,22.4
12,50,45,0,1,-22.8
9,14,37,0,1,-9.3
5,13,9,0,0,22.5
12,41,20,0,1,4.5
5,39,56,0,1,12.4
14,59,74,0,0,19.3
14,47,87,0,0,18.5
14,49,84,0,0,5.4
8,41,54,1,1,27.1
9,27,85,0,0,20.3
12,11,28,0,0,33.7
11,26,43,0,0,-13.1
10,42,29,0,1,4.4
10,31,28,1,0,-5
10,41,71,0,0,-6.8
6,6,0,0,1,-15.9
7,25,31,0,1,9
4,40,50,0,0,31.9
14,23,25,0,1,-20.5
7,43,53,0,1,6.3
14,39,19,0,1,16.1
10,47,47,0,0,15.3
8,27,14,0,0,1.5
10,10,0,0,1,-7.6
8,56,89,0,0,-3.6
9,24,1,0,1,-15.1
13,40,39,0,0,7.6
15,35,22,0,1,-26.2
6,31,64,0,0,15.6
9,14,39,0,0,19.2
8,17,37,0,0,12.3
10,78,93,1,0,-3.3
9,46,93,0,0,10.5
4,14,4,0,1,-11.3
10,25,20,0,1,5.1
10,72,122,0,0,50.7
12,32,34,0,0,5.8
6,22,20,1,0,-10.3
10,38,62,0,0,-31.7
8,28,48,0,0,42.7
12,14,0,0,1,-37.9
7,14,29,0,1,1.8
9,31,6,0,1,6.1
12,51,68,1,1,-5.1
